@file,1,DJM-S7,,,,,,,,,,,,
#name,function,type,input,deck1,deck2,deck3,deck4,output,deck1,deck2,deck3,deck4,option,comment
PAD10_PadMode2+Shift,PAD10_PadMode2+Shift,Pad,,9D19,9E19,,,,9D19,9E19,,,Fast,
PAD10_PadMode3,PAD10_PadMode3,Pad,,9D21,9E21,,,,9D21,9E21,,,Fast,
PAD10_PadMode3+Shift,PAD10_PadMode3+Shift,Pad,,9D29,9E29,,,,9D29,9E29,,,Fast,
PAD10_PadMode4,PAD10_PadMode4,Pad,,9D31,9E31,,,,9D31,9E31,,,Fast,
PAD10_PadMode4+Shift,PAD10_PadMode4+Shift,Pad,,9D39,9E39,,,,9D39,9E39,,,Fast,
PAD10_PadMode5,PAD10_PadMode5,Pad,,9B01,9C01,,,,9B01,9C01,,,Fast,
PAD10_PadMode5+Shift,PAD10_PadMode5+Shift,Pad,,9B09,9C09,,,,9B09,9C09,,,Fast,
PAD10_PadMode6,PAD10_PadMode6,Pad,,9B11,9C11,,,,9B11,9C11,,,Fast,
PAD10_PadMode6+Shift,PAD10_PadMode6+Shift,Pad,,9B19,9C19,,,,9B19,9C19,,,Fast,
PAD10_PadMode7,PAD10_PadMode7,Pad,,9B21,9C21,,,,9B21,9C21,,,Fast,
PAD10_PadMode7+Shift,PAD10_PadMode7+Shift,Pad,,9B29,9C29,,,,9B29,9C29,,,Fast,
PAD10_PadMode8,PAD10_PadMode8,Pad,,9B31,9C31,,,,9B31,9C31,,,Fast,
PAD10_PadMode8+Shift,PAD10_PadMode8+Shift,Pad,,9B39,9C39,,,,9B39,9C39,,,Fast,
,,,,,,,,,,,,,,
PAD11_PadMode1,PAD11_PadMode1,Pad,,9D02,9E02,,,,9D02,9E02,,,Fast,
PAD11_PadMode1+Shift,PAD11_PadMode1+Shift,Pad,,9D0A,9E0A,,,,9D0A,9E0A,,,Fast,
PAD11_PadMode2,PAD11_PadMode2,Pad,,9D12,9E12,,,,9D12,9E12,,,Fast,
PAD11_PadMode2+Shift,PAD11_PadMode2+Shift,Pad,,9D1A,9E1A,,,,9D1A,9E1A,,,Fast,
PAD11_PadMode3,PAD11_PadMode3,Pad,,9D22,9E22,,,,9D22,9E22,,,Fast,
